reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b32,Role of altered cerebello-thalamo-cortical network in the neurobiology of essential tremor,Role Of Altered Cerebello-Thalamo-Cortical Network In The Neurobiology Of Essential Tremor,70,10.1007/s00234-016-1771-1,https://w3id.org/oc/meta/br/062202114366,year_volume_page
b33,Dynamics of human subthalamic neuron phase-locking to motor and sensory cortical oscillations during movement,Dynamics Of Human Subthalamic Neuron Phase-Locking To Motor And Sensory Cortical Oscillations During Movement,70,10.1152/jn.00964.2016,https://w3id.org/oc/meta/br/061601378130,year_volume_page
b35,Neuropathological changes in essential tremor: 33 cases compared with 21 controls,Neuropathological Changes In Essential Tremor: 33 Cases Compared With 21 Controls,70,10.1093/brain/awm266,https://w3id.org/oc/meta/br/061901868653,year_volume_page
b36,Tolerance to the tremorogenic effects of harmaline: evidence for altered olivo-cerebellar function,Tolerance To The Tremorogenic Effects Of Harmaline: Evidence For Altered Olivo-Cerebellar Function,70,10.1016/0028-3908(88)90102-5,https://w3id.org/oc/meta/br/06802504627,year_volume_page
b37,Benefits and risks of pharmacological treatments for essential tremor,Benefits And Risks Of Pharmacological Treatments For Essential Tremor,70,10.2165/00002018-200326070-00003,https://w3id.org/oc/meta/br/06101722207,year_volume_page
b38,"Coherence between cerebellar thalamus, cortex and muscle in man: cerebellar thalamus interactions","Coherence Between Cerebellar Thalamus, Cortex And Muscle In Man: Cerebellar Thalamus Interactions",70,10.1093/brain/123.7.1459,https://w3id.org/oc/meta/br/061301861488,year_volume_page
b39,Observations on essential tremor,Observations On Essential Tremor,70,10.1136/jnnp.25.2.122,https://w3id.org/oc/meta/br/061201371275,year_volume_page
b40,Harmaline-induced tremor as a potential preclinical screening method for essential tremor medications,Harmaline-induced Tremor As A Potential Preclinical Screening Method For Essential Tremor Medications,70,10.1002/mds.20331,https://w3id.org/oc/meta/br/0610671508,year_volume_page
b41,A species-specific difference in the effects of harmaline on the rodent olivocerebellar system,A Species-Specific Difference In The Effects Of Harmaline On The Rodent Olivocerebellar System,70,10.1016/j.brainres.2005.11.036,https://w3id.org/oc/meta/br/062201777697,year_volume_page
b42,Genome-wide association study in essential tremor identifies three new loci,Genome-wide Association Study In Essential Tremor Identifies Three New Loci,70,10.1093/brain/aww242,https://w3id.org/oc/meta/br/061501871057,year_volume_page
b43,Oscillating central motor networks in pathological tremors and voluntary movements. What makes the difference?,Oscillating Central Motor Networks In Pathological Tremors And Voluntary Movements. What Makes The Difference?,70,10.1016/j.neuroimage.2012.01.088,https://w3id.org/oc/meta/br/06501336360,year_volume_page
b44,The slow oscillation in cortical and thalamic networks: mechanisms and functions,The Slow Oscillation In Cortical And Thalamic Networks: Mechanisms And Functions,70,10.3389/fncir.2015.00088,https://w3id.org/oc/meta/br/06140696687,author_title
